...1,Pedon,Horizon,R,Acquisition Time,QC Status,Dataset File,Method File,Y_mgL,Ca_mgL,P_mgL,K_mgL,Mg_mgL,Na_mgL,Al_mgL,Fe_mgL,Mn_mgL,Extraction Lab,Ca_mgKg,Ca_cmolKg,Na_mgKg,Na_cmolKg,Mg_mgKg,Mg_cmolKg,K_mgKg,K_cmolKg,Al_mgKg,Al_cmolKg,P_mgKg,Fe_mgKg,Mn_mgKg,CEC_cmolKg
0,QC Forest Reference Soil,Bs,NA,6/3/2021 10:17:21 AM,NA,HB Mod Morgan 6-3-21,Soil Modified Morgan,6.26297764014904,5.106567862033727,0.4595081916065815,2.1429862473270056,1.5835268880481719,0.8699473186200558,25.313820139851806,14.093817603341906,0.20742218992678596,UVM,25.532839310168637,0.1274093777952527,4.349736593100279,0.01892012437190204,7.917634440240859,0.06516571555753795,10.714931236635028,0.02740391620622769,126.56910069925902,1.4073658343134805,2.2975409580329083,70.46908801670953,1.0371109496339301,0.23889913393092035
1,QC Forest Reference Soil,Oa,NA,6/3/2021 10:27:12 AM,NA,HB Mod Morgan 6-3-21,Soil Modified Morgan,6.088099938819699,18.702258797455865,3.821208873633327,30.879272074569652,9.247049366953753,1.9516573184150476,39.45629278020776,5.962399735820826,0.8117759391421057,UVM,93.51129398727933,0.46662322348941787,9.758286592075239,0.04244578769932684,46.235246834768766,0.38053701098575116,154.39636037284825,0.394875601976594,197.28146390103882,2.193641184963367,19.106044368166636,29.81199867910413,4.058879695710528,1.28448162415109
2,42_4_V4.1,Oa,NA,6/3/2021 10:30:46 AM,NA,HB Mod Morgan 6-3-21,Soil Modified Morgan,5.894156403508955,68.08796618879938,10.455557668287362,31.672410500882307,14.518833119276472,2.8239714727686076,2.3575483223465676,0.8445139300272824,6.0662972790757,UVM,340.4398309439969,1.6988015516167512,14.119857363843039,0.061417387402536064,72.59416559638238,0.5974828444146698,158.36205250441154,0.4050180370956816,11.787741611732837,0.1310719971653021,52.27778834143682,4.222569650136412,30.331486395378498,2.7627198205296386
3,42_4_V4.1,E,NA,6/3/2021 10:34:20 AM,NA,HB Mod Morgan 6-3-21,Soil Modified Morgan,6.0552666375820525,5.843953891125373,0.1748715699048089,3.8318828053760914,1.370996143755868,1.1109964514871273,4.394707068273156,0.928632023295306,0.09430224681321972,UVM,29.219769455626867,0.14580723281250932,5.554982257435636,0.024162602250698724,6.85498071877934,0.0564195943932456,19.159414026880455,0.04900105889227738,21.973535341365782,0.244331378888426,0.8743578495240445,4.64316011647653,0.47151123406609863,0.27539048834873103
4,42_4_V4.1,Bhs1,NA,6/3/2021 10:37:57 AM,NA,HB Mod Morgan 6-3-21,Soil Modified Morgan,6.365069791360536,6.269828850321683,0.30638015015561454,4.592024902553428,1.8247728475208531,1.04879827430727,19.462490026983975,7.8776195479584175,0.10178900501956148,UVM,31.34914425160842,0.15643285554694822,5.2439913715363495,0.022809879823994562,9.123864237604266,0.0750935328197882,22.96012451276714,0.05872154606845816,97.31245013491987,1.0820509651770185,1.5319007507780726,39.38809773979209,0.5089450250978074,0.31305781425918916
5,42_4_V4.1,Bhs2.1,NA,6/3/2021 10:41:34 AM,NA,HB Mod Morgan 6-3-21,Soil Modified Morgan,5.367772021468221,6.649453283495801,0.7476547594357579,6.432100454473993,2.633516776196892,1.4469378756493994,49.125325101695495,19.768807687373197,0.44420341444572836,UVM,33.247266417479004,0.1659045230413124,7.234689378246997,0.031468853319908646,13.16758388098446,0.10837517597518073,32.16050227236997,0.08225192397025567,245.62662550847747,2.7312078447940413,3.7382737971787896,98.84403843686599,2.221017072228642,0.38800047630665746
6,42_4_V4.1,Bhs2.2,NA,6/3/2021 10:48:40 AM,NA,HB Mod Morgan 6-3-21,Soil Modified Morgan,6.16296564227647,5.639441711960787,0.33118503993356563,4.840027028037323,1.8303331170726662,1.0844649273721934,42.57061930270126,13.33351881868329,0.5534306862499446,UVM,28.197208559803933,0.14070463353195578,5.422324636860968,0.02358557910770321,9.15166558536333,0.07532235049681754,24.200135140186614,0.06189292874728034,212.8530965135063,2.366787581692064,1.6559251996678281,66.66759409341645,2.767153431249723,0.30150549188375686
7,42_4_V4.1,C.2,NA,6/3/2021 2:32:38 PM,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.819721008569662,3.5381308905259647,0.032807455046184694,2.309480149348391,0.7950907505642281,1.0015034527300566,18.78815523444738,0.6034114515461767,0.07260466067735696,UVM,17.690654452629822,0.08827671882549812,5.007517263650284,0.021781284313398368,3.975453752821141,0.03271978397383655,11.547400746741957,0.029532994237191707,93.9407761722369,1.0445601501731308,0.16403727523092348,3.0170572577308836,0.3630233033867848,0.17231078134992475
8,86_3_W3.2,Bhs1,NA,6/3/2021 2:36:15 PM,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.8516215089962165,9.080108708499875,1.1186757961265372,10.912787834066286,4.557586462591683,1.6207258883809914,66.07427132046348,40.20220241061372,0.26987351007663474,UVM,45.40054354249938,0.22654961847554583,8.103629441904957,0.035248496919986765,22.787932312958418,0.18755499846056312,54.56393917033143,0.13954971654816223,330.3713566023174,3.6735139725980432,5.593378980632686,201.0110120530686,1.3493675503831737,0.588902830404258
9,86_3_W3.2,Bhs1,NA,6/3/2021 2:39:44 PM,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,5.039708097493203,8.882779046425501,1.0458976495522956,11.128077886693148,4.421246060682315,1.7872376834601478,61.57411953172463,36.591242194701394,0.2530828361668868,UVM,44.4138952321275,0.22162622371321108,8.936188417300741,0.03886989307220853,22.106230303411575,0.18194428233260557,55.64038943346574,0.14230278627484844,307.8705976586231,3.4233202111781664,5.229488247761478,182.95621097350698,1.2654141808344341,0.5847431853928736
